RegionName,Ciudad,Estado,Precio_Actual,Clasificacion,Confianza_%,Crecimiento_2025_%,Asequibilidad,Vacancia_%,Impulso_Mercado_%
13215,Syracuse,NY,348069,Alto Potencial,100.0,9.0,2.6,2.4,0.5
14622,Rochester,NY,222317,Alto Potencial,100.0,9.4,2.5,1.6,-0.4
53404,Racine,WI,178136,Alto Potencial,100.0,11.5,3.0,3.6,2.2
13207,Syracuse,NY,165839,Alto Potencial,100.0,11.0,2.3,5.5,0.5
13032,Canastota,NY,212640,Alto Potencial,100.0,11.7,2.4,7.6,-0.2
61071,Rock Falls,IL,109783,Alto Potencial,100.0,10.5,1.6,5.7,4.1
40210,Louisville,KY,82876,Alto Potencial,100.0,16.6,1.8,10.2,5.5
13041,Clay,NY,283718,Alto Potencial,100.0,8.8,2.2,1.0,-0.6
18705,Wilkes-Barre,PA,171021,Alto Potencial,100.0,10.7,2.2,6.6,-0.4
13209,Syracuse,NY,216548,Alto Potencial,100.0,10.7,2.6,3.8,1.6
14467,Henrietta,NY,284531,Alto Potencial,100.0,10.3,2.7,0.7,-0.2
73601,Clinton,OK,105195,Alto Potencial,100.0,10.0,1.5,8.8,2.7
13224,Syracuse,NY,253307,Alto Potencial,100.0,11.5,2.5,3.7,2.7
17931,Frackville,PA,135495,Alto Potencial,100.0,15.4,1.9,3.9,4.4
25702,Huntington,WV,91187,Alto Potencial,100.0,20.8,1.9,10.5,15.3
13214,Syracuse,NY,279076,Alto Potencial,100.0,10.4,2.4,4.2,2.0
13029,Brewerton,NY,306907,Alto Potencial,100.0,10.0,2.5,4.5,-0.4
14489,Lyons,NY,156777,Alto Potencial,100.0,12.4,1.9,5.6,2.3
14589,Williamson,NY,239596,Alto Potencial,100.0,9.4,2.4,3.8,0.3
6016,Broad Brook,CT,368238,Alto Potencial,100.0,8.0,2.6,2.3,-0.2
14546,Scottsville,NY,253915,Alto Potencial,100.0,9.4,2.6,5.1,-1.0
24228,Clintwood,VA,108728,Alto Potencial,100.0,9.9,2.2,10.3,-0.7
7416,Franklin,NJ,369921,Alto Potencial,100.0,9.4,3.3,3.9,0.5
44902,Mansfield,OH,66042,Alto Potencial,100.0,14.9,1.7,8.9,0.2
13135,Phoenix,NY,227172,Alto Potencial,100.0,9.5,2.3,3.3,1.0
61616,Peoria Heights,IL,108503,Alto Potencial,100.0,9.6,1.4,4.9,2.3
60472,Robbins,IL,109831,Alto Potencial,100.0,11.6,2.4,9.2,-1.1
62363,Pittsfield,IL,121927,Alto Potencial,100.0,14.3,1.8,8.2,8.2
18452,Peckville,PA,215006,Alto Potencial,100.0,15.0,3.0,5.1,1.4
42256,Lewisburg,KY,203695,Alto Potencial,100.0,8.2,3.0,17.4,-0.1
6365,Preston,CT,388287,Alto Potencial,100.0,9.9,2.9,4.2,1.5
61088,Winnebago,IL,259045,Alto Potencial,100.0,9.0,2.3,1.0,-0.5
13074,Hannibal,NY,185371,Alto Potencial,100.0,10.4,2.1,4.3,2.7
25015,Belle,WV,115786,Alto Potencial,100.0,8.3,2.0,9.4,1.3
40051,New Haven,KY,188444,Alto Potencial,100.0,9.0,2.3,8.8,1.9
14423,Caledonia,NY,229833,Alto Potencial,100.0,9.3,2.4,2.5,-0.2
42327,Calhoun,KY,178937,Alto Potencial,100.0,10.6,2.3,4.7,-1.4
53103,Vernon,WI,460708,Alto Potencial,100.0,9.1,2.9,1.5,3.8
47512,Bicknell,IN,98504,Alto Potencial,100.0,15.7,1.2,4.9,9.2
44672,Sebring,OH,113578,Alto Potencial,100.0,13.6,1.8,8.5,2.6
26175,Sistersville,WV,108597,Alto Potencial,100.0,9.2,1.5,7.0,2.7
23950,Brodnax,VA,175227,Alto Potencial,100.0,10.2,3.2,8.4,1.7
13033,Cato,NY,218940,Alto Potencial,100.0,9.3,2.2,4.2,2.0
69201,Valentine,NE,228839,Alto Potencial,100.0,12.5,3.4,11.5,0.1
6330,Sprague,CT,342392,Alto Potencial,100.0,9.8,3.1,3.8,0.1
54107,Bonduel,WI,273104,Alto Potencial,100.0,9.7,3.0,4.6,0.1
61024,Durand,IL,203276,Alto Potencial,100.0,11.4,2.2,4.3,6.0
67467,Minneapolis,KS,156757,Alto Potencial,100.0,11.4,2.0,3.6,0.1
48759,Sebewaing,MI,133488,Alto Potencial,100.0,11.1,1.7,12.3,4.6
40313,Clearfield,KY,151046,Alto Potencial,100.0,10.7,2.0,6.8,0.5
47841,Clay City,IN,169505,Alto Potencial,100.0,10.4,2.3,5.4,-0.2
53516,,WI,320256,Alto Potencial,100.0,9.4,3.2,3.5,-1.0
54440,Hatley,WI,254314,Alto Potencial,100.0,11.9,2.5,5.1,3.8
27007,Ararat,NC,252116,Alto Potencial,100.0,8.5,2.4,6.5,0.8
62939,Goreville,IL,215769,Alto Potencial,100.0,8.4,2.7,14.8,0.1
45874,Ohio City,OH,171845,Alto Potencial,100.0,10.4,2.2,6.3,1.5
61053,Mount Carroll,IL,131172,Alto Potencial,100.0,13.9,1.8,7.3,0.4
61956,Villa Grove,IL,124967,Alto Potencial,100.0,12.7,1.5,3.4,1.6
54405,Abbotsford,WI,180847,Alto Potencial,100.0,12.3,2.2,2.4,4.9
40873,Wallins Creek,KY,83825,Alto Potencial,100.0,11.2,2.2,9.4,3.3
6235,Chaplin,CT,327459,Alto Potencial,100.0,10.0,2.9,1.7,-0.7
13318,Cassville,NY,231581,Alto Potencial,100.0,8.6,2.5,2.7,0.5
13111,Martville,NY,177885,Alto Potencial,100.0,10.0,2.4,6.0,6.2
66712,Arma,KS,126438,Alto Potencial,100.0,15.8,2.1,5.8,0.7
59050,Lodge Grass,MT,163590,Alto Potencial,100.0,15.7,1.6,6.5,7.1
1368,Royalston,MA,398335,Alto Potencial,100.0,10.5,3.2,4.9,1.0
61014,Chadwick,IL,133590,Alto Potencial,100.0,13.7,1.6,3.3,2.8
61078,Shannon,IL,155502,Alto Potencial,100.0,17.5,1.7,7.2,2.4
62510,Assumption,IL,114729,Alto Potencial,100.0,12.8,1.8,6.1,1.6
17965,Port Carbon,PA,123785,Alto Potencial,100.0,12.6,1.7,6.2,2.5
60921,Chatsworth,IL,91684,Alto Potencial,100.0,17.1,1.1,9.5,7.7
61368,Tiskilwa,IL,127728,Alto Potencial,100.0,9.8,1.4,6.6,5.0
13145,Sandy Creek,NY,174412,Alto Potencial,100.0,12.5,2.9,14.1,2.2
47666,Princeton,IN,160435,Alto Potencial,100.0,9.1,2.1,8.9,-0.3
27974,Shawboro,NC,307316,Alto Potencial,100.0,9.6,3.2,3.6,0.7
61565,,IL,159191,Alto Potencial,100.0,10.6,1.7,4.9,0.8
13485,West Edmeston,NY,179391,Alto Potencial,100.0,11.5,2.3,5.6,1.0
47142,,IN,223188,Alto Potencial,100.0,9.9,2.1,12.6,1.0
74569,Stringtown,OK,214867,Alto Potencial,100.0,12.1,3.2,9.5,2.6
25844,Glen Daniel,WV,163120,Alto Potencial,100.0,8.9,1.5,0.0,-0.9
43963,Tiltonsville,OH,115339,Alto Potencial,100.0,8.5,1.7,6.7,6.4
68944,Harvard,NE,128612,Alto Potencial,100.0,12.8,1.5,5.4,3.9
67349,Howard,KS,81725,Alto Potencial,100.0,14.9,1.0,18.3,7.1
62985,Simpson,IL,185217,Alto Potencial,100.0,9.7,2.1,19.5,6.9
69347,Hay Springs,NE,164659,Alto Potencial,100.0,13.2,1.8,11.1,-1.5
13744,Binghamton,NY,193435,Alto Potencial,100.0,8.7,2.6,3.7,-0.1
17099,Yeagertown,PA,140475,Alto Potencial,100.0,8.7,1.7,3.8,4.7
45317,Conover,OH,206631,Alto Potencial,100.0,9.2,1.7,5.6,2.7
63386,West Alton,MO,173619,Alto Potencial,100.0,8.4,1.2,11.9,1.8
27946,Hobbsville,NC,226753,Alto Potencial,100.0,18.0,2.6,13.3,0.3
69352,Lyman,NE,181855,Alto Potencial,100.0,13.1,2.7,8.3,4.9
47516,Bruceville,IN,203275,Alto Potencial,100.0,10.8,2.0,1.5,2.3
47528,Edwardsport,IN,134212,Alto Potencial,100.0,12.0,2.1,1.6,2.8
54408,Aniwa,WI,220635,Alto Potencial,100.0,10.3,2.4,6.0,6.8
13310,Bouckville,NY,196878,Alto Potencial,100.0,11.5,1.7,15.2,0.1
47524,Decker,IN,126062,Alto Potencial,100.0,12.8,2.0,2.5,4.2
67446,Glen Elder,KS,143684,Alto Potencial,100.0,16.5,1.2,16.5,2.8
67731,Bird City,KS,148572,Alto Potencial,100.0,24.6,1.8,8.1,5.6
31823,Pine Mountain Valley,GA,245808,Alto Potencial,100.0,10.3,2.8,14.9,3.2
67764,,KS,123827,Alto Potencial,100.0,18.1,1.8,17.7,2.7
55713,Buhl,MN,122629,Alto Potencial,100.0,8.2,1.8,5.3,1.2
66951,Agra,KS,110381,Alto Potencial,100.0,20.4,1.3,13.7,7.0
46175,Russellville,IN,182879,Alto Potencial,100.0,16.2,1.9,10.0,8.3
29377,Startex,SC,143424,Alto Potencial,100.0,17.6,2.3,10.7,4.8
43536,Mark Center,OH,154754,Alto Potencial,100.0,13.4,1.3,0.0,7.5
64480,Rea,MO,255618,Alto Potencial,100.0,15.4,1.8,8.8,1.0
61320,Dalzell,IL,148570,Alto Potencial,100.0,8.5,1.6,1.6,3.3
67511,Albert,KS,124506,Alto Potencial,100.0,11.7,2.2,14.8,2.2
67657,Palco,KS,127410,Alto Potencial,100.0,11.5,1.7,26.1,2.0
67656,Ogallah,KS,140643,Alto Potencial,100.0,22.9,1.6,10.4,-2.1
46537,La Paz,IN,147017,Alto Potencial,100.0,11.7,2.0,7.3,2.0
47382,Saratoga,IN,69527,Alto Potencial,100.0,12.5,0.9,8.5,0.8
82732,Wright,WY,280275,Alto Potencial,100.0,12.6,2.5,19.1,4.6
15937,Jerome,PA,78292,Alto Potencial,100.0,19.1,1.1,12.8,4.0
14592,York,NY,187430,Alto Potencial,100.0,9.6,2.2,9.2,0.3
8854,Piscataway,NJ,568084,Alto Potencial,99.9,10.8,3.7,1.2,3.1
60505,Aurora,IL,232577,Alto Potencial,99.9,9.3,2.7,2.3,0.1
53215,Milwaukee,WI,208916,Alto Potencial,99.9,11.7,3.5,3.2,1.5
40601,Frankfort,KY,236232,Alto Potencial,99.9,10.0,3.0,3.0,-0.5
53511,Beloit,WI,194201,Alto Potencial,99.9,7.6,2.5,2.5,-0.8
44646,Massillon,OH,210152,Alto Potencial,99.9,7.7,2.7,2.3,0.2
8844,Hillsborough Township,NJ,672112,Alto Potencial,99.9,9.1,3.6,0.6,2.2
13760,Endicott,NY,193019,Alto Potencial,99.9,8.2,2.6,3.8,-1.5
8902,North Brunswick,NJ,523791,Alto Potencial,99.9,11.1,3.7,0.8,1.0
61554,Pekin,IL,124771,Alto Potencial,99.9,7.9,1.7,3.7,1.9
44870,Sandusky,OH,176780,Alto Potencial,99.9,9.4,2.6,7.7,-1.6
14624,Rochester,NY,250038,Alto Potencial,99.9,8.9,2.4,1.1,-1.7
6040,Manchester,CT,318743,Alto Potencial,99.9,7.1,3.1,2.4,0.2
13126,Oswego,NY,179727,Alto Potencial,99.9,10.0,2.3,5.7,1.5
53219,Milwaukee,WI,254921,Alto Potencial,99.9,7.7,3.0,2.0,-0.6
61008,Belvidere,IL,240422,Alto Potencial,99.9,8.7,2.7,1.7,-1.8
14621,Rochester,NY,109020,Alto Potencial,99.9,13.8,2.4,5.8,7.0
60139,Glendale Heights,IL,299539,Alto Potencial,99.9,7.5,3.1,1.3,1.4
7110,Nutley,NJ,623782,Alto Potencial,99.9,9.1,4.5,1.4,2.8
13850,Vestal,NY,237464,Alto Potencial,99.9,8.6,2.4,4.4,-1.7
11803,Plainview,NY,903238,Alto Potencial,99.9,8.5,4.2,1.6,1.3
53140,Kenosha,WI,234351,Alto Potencial,99.9,9.2,3.5,3.8,2.1
6095,Windsor,CT,339454,Alto Potencial,99.9,8.3,2.6,1.9,0.3
7621,Bergenfield,NJ,599515,Alto Potencial,99.9,8.9,4.1,0.9,2.5
7920,Basking Ridge,NJ,881185,Alto Potencial,99.9,9.7,3.9,1.1,2.9
53405,Racine,WI,211334,Alto Potencial,99.9,8.7,2.6,1.7,0.5
7450,Ridgewood,NJ,1095776,Alto Potencial,99.9,10.2,4.2,1.3,1.6
7076,Scotch Plains,NJ,776779,Alto Potencial,99.9,8.8,3.7,1.2,3.4
6108,East Hartford,CT,271117,Alto Potencial,99.9,9.0,3.9,1.9,-0.2
17901,Pottsville,PA,141853,Alto Potencial,99.9,8.5,1.9,6.1,0.5
45356,Piqua,OH,172319,Alto Potencial,99.9,8.0,2.2,2.8,-0.4
6451,Meriden,CT,307553,Alto Potencial,99.9,10.1,3.7,3.8,-0.8
13069,Fulton,NY,173224,Alto Potencial,99.9,9.8,2.3,3.3,0.4
53143,Kenosha,WI,235260,Alto Potencial,99.9,8.5,3.0,3.9,1.4
53545,Janesville,WI,260568,Alto Potencial,99.9,8.9,3.2,1.7,-1.3
11501,Mineola,NY,773351,Alto Potencial,99.9,9.8,4.8,1.8,2.6
8879,South Amboy,NJ,504103,Alto Potencial,99.9,9.7,4.3,2.2,2.2
7866,Rockaway,NJ,544735,Alto Potencial,99.9,9.0,3.7,0.8,1.3
53548,Janesville,WI,257995,Alto Potencial,99.9,8.4,2.9,2.2,-0.1
13088,Liverpool,NY,243055,Alto Potencial,99.9,9.7,2.7,2.0,-0.1
25705,Huntington,WV,164098,Alto Potencial,99.9,12.5,2.3,4.6,1.2
18505,Scranton,PA,173651,Alto Potencial,99.9,13.8,2.6,6.8,-0.8
14468,Hilton,NY,285159,Alto Potencial,99.9,8.7,2.5,1.4,-0.7
45505,Springfield,OH,122455,Alto Potencial,99.9,13.1,2.3,6.0,-0.6
61104,Rockford,IL,92472,Alto Potencial,99.9,15.2,2.1,8.5,7.9
8837,Edison,NJ,518286,Alto Potencial,99.9,11.6,3.9,1.6,3.1
13790,Johnson City,NY,151267,Alto Potencial,99.9,10.4,2.3,6.4,-1.5
44320,Akron,OH,110492,Alto Potencial,99.9,10.5,2.4,5.2,-0.8
54455,Mosinee,WI,293097,Alto Potencial,99.9,8.3,2.6,1.8,1.3
44647,Massillon,OH,179504,Alto Potencial,99.9,8.3,2.3,2.9,2.6
8536,Plainsboro,NJ,643070,Alto Potencial,99.9,10.8,4.0,1.6,2.5
54476,Weston,WI,260188,Alto Potencial,99.9,7.7,2.9,1.6,0.9
7067,Colonia,NJ,614393,Alto Potencial,99.9,10.4,3.9,0.3,-0.1
43311,Bellefontaine,OH,231571,Alto Potencial,99.9,8.8,3.1,3.8,3.2
54166,Shawano,WI,227493,Alto Potencial,99.9,8.7,2.9,9.6,-0.9
8830,Iselin,NJ,538303,Alto Potencial,99.9,11.4,3.9,1.4,2.6
60436,Rockdale,IL,214943,Alto Potencial,99.9,9.1,2.9,2.9,-0.7
7628,Dumont,NJ,626477,Alto Potencial,99.9,8.7,4.2,1.6,2.6
14615,Rochester,NY,177431,Alto Potencial,99.9,9.0,2.8,2.1,-0.1
14559,Spencerport,NY,295024,Alto Potencial,99.9,8.9,2.7,1.6,-1.1
13039,Cicero,NY,313161,Alto Potencial,99.9,8.7,2.4,2.4,-2.0
7834,Denville,NJ,635009,Alto Potencial,99.9,8.0,3.3,2.4,2.2
40212,Louisville,KY,83200,Alto Potencial,99.9,12.6,1.8,10.6,8.1
60433,Joliet,IL,203893,Alto Potencial,99.9,9.0,2.8,3.4,0.1
8882,South River,NJ,514420,Alto Potencial,99.9,11.1,4.2,1.4,1.6
45320,Eaton,OH,235439,Alto Potencial,99.9,7.2,2.9,3.4,-0.5
45891,Van Wert,OH,171927,Alto Potencial,99.9,8.1,2.3,2.7,-1.0
53901,Portage,WI,268774,Alto Potencial,99.9,8.6,3.1,4.2,-0.1
44905,Mansfield,OH,140685,Alto Potencial,99.9,8.7,2.1,2.8,-1.7
26241,Elkins,WV,169048,Alto Potencial,99.9,8.6,2.8,8.2,0.6
7044,Verona,NJ,706671,Alto Potencial,99.9,9.3,3.7,1.1,3.3
25504,Barboursville,WV,199262,Alto Potencial,99.9,12.1,2.8,5.4,2.6
60064,North Chicago,IL,195460,Alto Potencial,99.9,13.6,3.1,4.1,4.2
61866,Rantoul,IL,129041,Alto Potencial,99.9,8.2,2.1,6.1,1.7
16146,Sharon,PA,68426,Alto Potencial,99.9,18.9,1.3,7.7,5.0
15668,Murrysville,PA,332532,Alto Potencial,99.9,9.1,2.3,1.5,-0.4
8863,Fords,NJ,503941,Alto Potencial,99.9,12.0,3.5,0.6,4.2
10530,Hartsdale,NY,675090,Alto Potencial,99.9,8.1,4.8,2.2,3.2
44811,Bellevue,OH,179052,Alto Potencial,99.9,7.8,2.4,3.1,-0.4
7974,New Providence,NJ,925741,Alto Potencial,99.9,8.4,4.6,2.3,1.4
10803,Pelham,NY,1212292,Alto Potencial,99.9,9.2,4.8,0.9,0.4
45506,Springfield,OH,114193,Alto Potencial,99.9,15.7,2.2,6.8,3.5
7009,Cedar Grove,NJ,718498,Alto Potencial,99.9,9.3,4.1,1.0,1.6
8824,Kendall Park,NJ,709926,Alto Potencial,99.9,10.3,3.3,0.8,0.0
24426,Covington,VA,147435,Alto Potencial,99.9,9.5,2.4,10.0,-1.0
54961,New London,WI,262508,Alto Potencial,99.9,8.5,3.1,2.6,-0.9
13066,Fayetteville,NY,363010,Alto Potencial,99.9,8.5,2.5,4.1,-0.6
64772,Nevada,MO,148799,Alto Potencial,99.9,7.8,2.2,4.8,-1.5
14586,West Henrietta,NY,339600,Alto Potencial,99.9,9.1,2.3,2.4,-2.2
13421,Oneida,NY,197210,Alto Potencial,99.9,9.7,2.6,3.0,0.8
7452,Glen Rock,NJ,956625,Alto Potencial,99.9,8.7,3.8,0.6,1.7
61356,Princeton,IL,170372,Alto Potencial,99.9,9.5,2.2,4.6,2.5
14519,Ontario,NY,319760,Alto Potencial,99.9,8.0,2.9,1.6,-0.8
16511,Erie,PA,184802,Alto Potencial,99.9,9.4,2.2,2.5,-0.9
42345,Greenville,KY,148380,Alto Potencial,99.9,10.8,1.8,3.8,2.9
61523,Chillicothe,IL,166495,Alto Potencial,99.9,9.5,1.9,3.4,1.4
6382,Montville,CT,320306,Alto Potencial,99.9,7.5,3.1,2.2,0.3
8835,Manville,NJ,465142,Alto Potencial,99.9,8.9,4.1,2.2,0.7
64503,Saint Joseph,MO,157348,Alto Potencial,99.9,10.4,2.6,6.5,-0.5
6239,Killingly,CT,330289,Alto Potencial,99.9,10.6,3.4,1.8,-0.3
7843,Hopatcong,NJ,415719,Alto Potencial,99.9,9.2,3.1,4.0,0.2
14625,Rochester,NY,347047,Alto Potencial,99.9,8.0,2.7,3.0,-1.5
54162,Pulaski,WI,349092,Alto Potencial,99.9,10.5,3.7,0.8,-0.6
14428,Churchville,NY,307574,Alto Potencial,99.9,7.9,3.0,2.3,-1.8
44714,Canton,OH,146968,Alto Potencial,99.9,9.7,2.2,3.0,-0.8
61080,South Beloit,IL,215576,Alto Potencial,99.9,8.5,2.3,1.9,-1.5
7642,Hillsdale,NJ,772402,Alto Potencial,99.9,9.6,3.9,0.9,3.0
7034,Lake Hiawatha,NJ,505845,Alto Potencial,99.9,9.0,4.2,1.0,3.2
44502,Youngstown,OH,54001,Alto Potencial,99.9,18.3,1.3,8.2,-1.6
54615,Black River Falls,WI,216047,Alto Potencial,99.9,9.5,3.0,4.8,-0.5
40118,Louisville,KY,191633,Alto Potencial,99.9,9.7,3.1,3.9,3.0
25840,Fayetteville,WV,192085,Alto Potencial,99.9,10.1,2.5,3.6,3.9
54929,Clintonville,WI,218057,Alto Potencial,99.9,9.1,3.0,7.0,0.5
6374,Plainfield,CT,328373,Alto Potencial,99.9,8.6,3.9,1.3,0.2
18447,Olyphant,PA,215695,Alto Potencial,99.9,14.3,2.8,3.5,2.1
7603,Bogota,NJ,569587,Alto Potencial,99.9,12.0,4.4,0.9,4.3
14482,Le Roy,NY,212861,Alto Potencial,99.9,8.6,2.4,2.2,-2.2
44707,Canton,OH,96798,Alto Potencial,99.9,13.0,2.1,8.5,4.8
25541,Milton,WV,209179,Alto Potencial,99.9,9.1,3.0,6.4,-0.1
18518,Old Forge,PA,203830,Alto Potencial,99.9,13.0,2.2,2.3,4.4
25550,Point Pleasant,WV,155915,Alto Potencial,99.9,12.1,2.7,6.3,-1.6
61606,Peoria,IL,114032,Alto Potencial,99.9,7.6,2.3,5.7,3.0
44405,Campbell,OH,94258,Alto Potencial,99.9,14.8,1.7,4.8,0.1
26170,Saint Marys,WV,158412,Alto Potencial,99.9,11.5,2.3,7.1,0.5
41097,Williamstown,KY,252659,Alto Potencial,99.9,8.5,3.1,5.9,-0.8
7462,Vernon,NJ,300405,Alto Potencial,99.9,8.1,2.4,6.0,1.6
15062,Monessen,PA,77717,Alto Potencial,99.9,15.1,1.2,12.2,-0.6
6035,Granby,CT,413221,Alto Potencial,99.9,7.7,3.1,0.7,-0.2
6779,Watertown,CT,320473,Alto Potencial,99.9,8.6,3.0,3.4,-0.9
13114,Mexico,NY,210121,Alto Potencial,99.9,11.7,2.4,5.7,1.8
18507,Moosic,PA,237671,Alto Potencial,99.9,11.4,2.6,3.9,2.8
29003,Bamberg,SC,153491,Alto Potencial,99.9,9.1,2.7,11.8,1.1
7850,Landing,NJ,502569,Alto Potencial,99.9,10.4,4.1,1.9,2.6
14464,Hamlin,NY,233602,Alto Potencial,99.9,8.1,2.6,3.8,0.1
14510,Mount Morris,NY,154597,Alto Potencial,99.9,12.6,2.1,5.2,-0.4
11980,Yaphank,NY,518466,Alto Potencial,99.9,8.3,4.1,1.0,1.0
43526,Hicksville,OH,169850,Alto Potencial,99.9,8.0,2.2,1.0,-0.3
45308,Bradford,OH,195735,Alto Potencial,99.9,8.2,2.4,1.7,-0.2
43357,West Liberty,OH,286503,Alto Potencial,99.9,8.4,2.9,2.7,-0.2
14867,Newfield,NY,265535,Alto Potencial,99.9,8.1,3.3,3.5,-1.0
7662,Rochelle Park,NJ,605394,Alto Potencial,99.9,9.7,4.3,1.2,2.0
43938,Mingo Junction,OH,87243,Alto Potencial,99.9,8.7,1.3,7.7,4.1
54739,Elk Mound,WI,349800,Alto Potencial,99.9,8.2,3.3,1.4,-0.1
45345,,OH,177995,Alto Potencial,99.9,8.4,2.0,1.7,-0.3
67550,Larned,KS,96061,Alto Potencial,99.9,12.9,1.2,8.6,-1.8
14505,Marion,NY,232408,Alto Potencial,99.9,9.0,2.3,2.1,0.5
13159,Tully,NY,290044,Alto Potencial,99.9,7.9,2.6,4.1,0.6
14433,Clyde,NY,154069,Alto Potencial,99.9,12.7,1.8,3.3,11.0
7718,Belford,NJ,585897,Alto Potencial,99.9,8.9,3.5,0.5,0.2
6237,Columbia,CT,399266,Alto Potencial,99.9,7.4,2.7,1.8,0.1
25510,Culloden,WV,209572,Alto Potencial,99.9,10.0,2.3,2.3,0.4
44430,Leavittsburg,OH,103619,Alto Potencial,99.9,10.8,1.6,3.2,-3.4
13803,Marathon,NY,182934,Alto Potencial,99.9,8.0,2.5,5.3,-0.5
6088,East Windsor,CT,294568,Alto Potencial,99.9,7.4,2.9,4.3,0.1
17048,Lykens,PA,146859,Alto Potencial,99.9,10.3,1.7,5.1,2.0
54479,Spencer,WI,208900,Alto Potencial,99.9,7.7,2.3,1.8,0.1
7422,Highland Lake,NJ,386786,Alto Potencial,99.9,8.1,2.9,7.7,-0.7
44127,Cleveland,OH,57084,Alto Potencial,99.9,13.4,1.4,8.1,-1.2
61074,Savanna,IL,82391,Alto Potencial,99.9,13.6,1.5,7.6,-1.2
6278,Ashford,CT,370619,Alto Potencial,99.9,7.5,2.4,5.5,-0.2
47874,Rosedale,IN,169940,Alto Potencial,99.9,10.2,2.5,6.1,-1.6
47944,Fowler,IN,194487,Alto Potencial,99.9,10.2,3.0,4.6,-1.8
