RegionName,Ciudad,Estado,Precio_Actual,Clasificacion,Confianza_%,Crecimiento_2025_%,Asequibilidad,Vacancia_%,Impulso_Mercado_%,Latitude,Longitude
19801,Wilmington,DE,164873,Alto Potencial,100.0,9.9,3.0,8.3,1.0,39.7378,-75.5497
61102,Rockford,IL,105612,Alto Potencial,100.0,13.9,1.8,5.9,8.5,42.2547,-89.1247
8840,Metuchen,NJ,651360,Alto Potencial,100.0,12.9,3.4,1.2,4.3,,
6062,Plainville,CT,316834,Alto Potencial,100.0,7.7,3.2,2.5,0.9,,
13206,Syracuse,NY,182284,Alto Potencial,100.0,11.1,2.5,3.8,2.6,43.0677,-76.1102
13031,Camillus,NY,278583,Alto Potencial,100.0,10.0,2.5,1.9,0.1,43.0417,-76.2807
13057,East Syracuse,NY,234724,Alto Potencial,100.0,10.9,2.4,1.7,1.8,43.0734,-76.0558
16503,Erie,PA,62535,Alto Potencial,100.0,9.6,1.7,4.9,6.3,42.1265,-80.064
44706,Canton,OH,146562,Alto Potencial,100.0,9.7,2.2,5.2,4.4,40.768,-81.4119
13219,Syracuse,NY,235723,Alto Potencial,100.0,9.7,2.4,1.8,1.1,43.0409,-76.2262
16502,Erie,PA,119161,Alto Potencial,100.0,9.8,2.8,5.8,0.1,42.1133,-80.0976
13215,Syracuse,NY,348069,Alto Potencial,100.0,9.0,2.6,2.4,0.5,42.9722,-76.2276
14622,Rochester,NY,222317,Alto Potencial,100.0,9.4,2.5,1.6,-0.4,43.214,-77.5555
53404,Racine,WI,178136,Alto Potencial,100.0,11.5,3.0,3.6,2.2,42.7433,-87.8053
13207,Syracuse,NY,165839,Alto Potencial,100.0,11.0,2.3,5.5,0.5,43.0195,-76.165
13032,Canastota,NY,212640,Alto Potencial,100.0,11.7,2.4,7.6,-0.2,43.0878,-75.7602
61071,Rock Falls,IL,109783,Alto Potencial,100.0,10.5,1.6,5.7,4.1,41.7665,-89.6925
40210,Louisville,KY,82876,Alto Potencial,100.0,16.6,1.8,10.2,5.5,38.2306,-85.7905
13041,Clay,NY,283718,Alto Potencial,100.0,8.8,2.2,1.0,-0.6,43.1737,-76.1707
18705,Wilkes-Barre,PA,171021,Alto Potencial,100.0,10.7,2.2,6.6,-0.4,41.2689,-75.8453
13209,Syracuse,NY,216548,Alto Potencial,100.0,10.7,2.6,3.8,1.6,43.0847,-76.2405
14467,Henrietta,NY,284531,Alto Potencial,100.0,10.3,2.7,0.7,-0.2,43.0483,-77.6122
73601,Clinton,OK,105195,Alto Potencial,100.0,10.0,1.5,8.8,2.7,35.5115,-98.9795
13224,Syracuse,NY,253307,Alto Potencial,100.0,11.5,2.5,3.7,2.7,43.0421,-76.1046
17931,Frackville,PA,135495,Alto Potencial,100.0,15.4,1.9,3.9,4.4,40.7825,-76.2311
25702,Huntington,WV,91187,Alto Potencial,100.0,20.8,1.9,10.5,15.3,38.4286,-82.3911
13214,Syracuse,NY,279076,Alto Potencial,100.0,10.4,2.4,4.2,2.0,43.0397,-76.0722
13029,Brewerton,NY,306907,Alto Potencial,100.0,10.0,2.5,4.5,-0.4,43.2252,-76.1351
14489,Lyons,NY,156777,Alto Potencial,100.0,12.4,1.9,5.6,2.3,43.0777,-76.9896
14589,Williamson,NY,239596,Alto Potencial,100.0,9.4,2.4,3.8,0.3,43.2421,-77.17
6016,Broad Brook,CT,368238,Alto Potencial,100.0,8.0,2.6,2.3,-0.2,,
14546,Scottsville,NY,253915,Alto Potencial,100.0,9.4,2.6,5.1,-1.0,43.0246,-77.7743
24228,Clintwood,VA,108728,Alto Potencial,100.0,9.9,2.2,10.3,-0.7,37.1592,-82.4453
7416,Franklin,NJ,369921,Alto Potencial,100.0,9.4,3.3,3.9,0.5,,
44902,Mansfield,OH,66042,Alto Potencial,100.0,14.9,1.7,8.9,0.2,40.7559,-82.5123
13135,Phoenix,NY,227172,Alto Potencial,100.0,9.5,2.3,3.3,1.0,43.2468,-76.3064
61616,Peoria Heights,IL,108503,Alto Potencial,100.0,9.6,1.4,4.9,2.3,40.7473,-89.574
60472,Robbins,IL,109831,Alto Potencial,100.0,11.6,2.4,9.2,-1.1,41.6423,-87.7089
62363,Pittsfield,IL,121927,Alto Potencial,100.0,14.3,1.8,8.2,8.2,39.6013,-90.8073
18452,Peckville,PA,215006,Alto Potencial,100.0,15.0,3.0,5.1,1.4,41.4821,-75.5899
42256,Lewisburg,KY,203695,Alto Potencial,100.0,8.2,3.0,17.4,-0.1,37.0037,-86.9887
6365,Preston,CT,388287,Alto Potencial,100.0,9.9,2.9,4.2,1.5,,
61088,Winnebago,IL,259045,Alto Potencial,100.0,9.0,2.3,1.0,-0.5,42.2727,-89.2373
13074,Hannibal,NY,185371,Alto Potencial,100.0,10.4,2.1,4.3,2.7,43.3111,-76.546
25015,Belle,WV,115786,Alto Potencial,100.0,8.3,2.0,9.4,1.3,38.2324,-81.5024
40051,New Haven,KY,188444,Alto Potencial,100.0,9.0,2.3,8.8,1.9,37.6438,-85.547
14423,Caledonia,NY,229833,Alto Potencial,100.0,9.3,2.4,2.5,-0.2,42.9567,-77.8493
42327,Calhoun,KY,178937,Alto Potencial,100.0,10.6,2.3,4.7,-1.4,37.575,-87.2773
53103,Vernon,WI,460708,Alto Potencial,100.0,9.1,2.9,1.5,3.8,42.8885,-88.2122
47512,Bicknell,IN,98504,Alto Potencial,100.0,15.7,1.2,4.9,9.2,38.7727,-87.3137
44672,Sebring,OH,113578,Alto Potencial,100.0,13.6,1.8,8.5,2.6,40.9227,-81.0232
26175,Sistersville,WV,108597,Alto Potencial,100.0,9.2,1.5,7.0,2.7,39.5584,-80.9818
23950,Brodnax,VA,175227,Alto Potencial,100.0,10.2,3.2,8.4,1.7,36.6613,-78.0754
13033,Cato,NY,218940,Alto Potencial,100.0,9.3,2.2,4.2,2.0,43.1794,-76.5648
69201,Valentine,NE,228839,Alto Potencial,100.0,12.5,3.4,11.5,0.1,42.8062,-100.6215
6330,Sprague,CT,342392,Alto Potencial,100.0,9.8,3.1,3.8,0.1,,
54107,Bonduel,WI,273104,Alto Potencial,100.0,9.7,3.0,4.6,0.1,44.6992,-88.4543
61024,Durand,IL,203276,Alto Potencial,100.0,11.4,2.2,4.3,6.0,42.4337,-89.3094
67467,Minneapolis,KS,156757,Alto Potencial,100.0,11.4,2.0,3.6,0.1,39.1295,-97.6688
48759,Sebewaing,MI,133488,Alto Potencial,100.0,11.1,1.7,12.3,4.6,43.7289,-83.4366
40313,Clearfield,KY,151046,Alto Potencial,100.0,10.7,2.0,6.8,0.5,38.1287,-83.4425
47841,Clay City,IN,169505,Alto Potencial,100.0,10.4,2.3,5.4,-0.2,39.2727,-87.1082
53516,,WI,320256,Alto Potencial,100.0,9.4,3.2,3.5,-1.0,42.8062,-89.8555
54440,Hatley,WI,254314,Alto Potencial,100.0,11.9,2.5,5.1,3.8,44.8256,-89.3777
27007,Ararat,NC,252116,Alto Potencial,100.0,8.5,2.4,6.5,0.8,36.3859,-80.5895
62939,Goreville,IL,215769,Alto Potencial,100.0,8.4,2.7,14.8,0.1,37.575,-88.9655
45874,Ohio City,OH,171845,Alto Potencial,100.0,10.4,2.2,6.3,1.5,40.7854,-84.6731
61053,Mount Carroll,IL,131172,Alto Potencial,100.0,13.9,1.8,7.3,0.4,42.1053,-89.9845
61956,Villa Grove,IL,124967,Alto Potencial,100.0,12.7,1.5,3.4,1.6,39.8687,-88.1616
54405,Abbotsford,WI,180847,Alto Potencial,100.0,12.3,2.2,2.4,4.9,44.9641,-90.2994
40873,Wallins Creek,KY,83825,Alto Potencial,100.0,11.2,2.2,9.4,3.3,36.8165,-83.419
6235,Chaplin,CT,327459,Alto Potencial,100.0,10.0,2.9,1.7,-0.7,,
13318,Cassville,NY,231581,Alto Potencial,100.0,8.6,2.5,2.7,0.5,42.9069,-75.2607
13111,Martville,NY,177885,Alto Potencial,100.0,10.0,2.4,6.0,6.2,43.2661,-76.6289
66712,Arma,KS,126438,Alto Potencial,100.0,15.8,2.1,5.8,0.7,37.5573,-94.6949
59050,Lodge Grass,MT,163590,Alto Potencial,100.0,15.7,1.6,6.5,7.1,45.3166,-107.3675
1368,Royalston,MA,398335,Alto Potencial,100.0,10.5,3.2,4.9,1.0,,
61014,Chadwick,IL,133590,Alto Potencial,100.0,13.7,1.6,3.3,2.8,41.9962,-89.8963
61078,Shannon,IL,155502,Alto Potencial,100.0,17.5,1.7,7.2,2.4,42.161,-89.7481
62510,Assumption,IL,114729,Alto Potencial,100.0,12.8,1.8,6.1,1.6,39.5095,-89.0398
17965,Port Carbon,PA,123785,Alto Potencial,100.0,12.6,1.7,6.2,2.5,40.6977,-76.166
60921,Chatsworth,IL,91684,Alto Potencial,100.0,17.1,1.1,9.5,7.7,40.7484,-88.2937
61368,Tiskilwa,IL,127728,Alto Potencial,100.0,9.8,1.4,6.6,5.0,41.2891,-89.508
13145,Sandy Creek,NY,174412,Alto Potencial,100.0,12.5,2.9,14.1,2.2,43.6517,-76.1264
47666,Princeton,IN,160435,Alto Potencial,100.0,9.1,2.1,8.9,-0.3,38.4143,-87.5958
27974,Shawboro,NC,307316,Alto Potencial,100.0,9.6,3.2,3.6,0.7,36.2584,-76.0432
61565,,IL,159191,Alto Potencial,100.0,10.6,1.7,4.9,0.8,41.0134,-89.4571
13485,West Edmeston,NY,179391,Alto Potencial,100.0,11.5,2.3,5.6,1.0,42.7868,-75.3149
47142,,IN,223188,Alto Potencial,100.0,9.9,2.1,12.6,1.0,38.0437,-86.1846
74569,Stringtown,OK,214867,Alto Potencial,100.0,12.1,3.2,9.5,2.6,34.4676,-96.0002
25844,Glen Daniel,WV,163120,Alto Potencial,100.0,8.9,1.5,0.0,-0.9,37.8251,-81.3858
43963,Tiltonsville,OH,115339,Alto Potencial,100.0,8.5,1.7,6.7,6.4,40.1681,-80.6996
68944,Harvard,NE,128612,Alto Potencial,100.0,12.8,1.5,5.4,3.9,40.6265,-98.0846
67349,Howard,KS,81725,Alto Potencial,100.0,14.9,1.0,18.3,7.1,37.4809,-96.2563
62985,Simpson,IL,185217,Alto Potencial,100.0,9.7,2.1,19.5,6.9,37.4673,-88.7551
69347,Hay Springs,NE,164659,Alto Potencial,100.0,13.2,1.8,11.1,-1.5,42.6401,-102.6756
13744,Binghamton,NY,193435,Alto Potencial,100.0,8.7,2.6,3.7,-0.1,42.2568,-75.9087
17099,Yeagertown,PA,140475,Alto Potencial,100.0,8.7,1.7,3.8,4.7,40.6431,-77.5805
45317,Conover,OH,206631,Alto Potencial,100.0,9.2,1.7,5.6,2.7,40.1457,-84.0283
63386,West Alton,MO,173619,Alto Potencial,100.0,8.4,1.2,11.9,1.8,38.8758,-90.2384
27946,Hobbsville,NC,226753,Alto Potencial,100.0,18.0,2.6,13.3,0.3,36.3543,-76.6178
69352,Lyman,NE,181855,Alto Potencial,100.0,13.1,2.7,8.3,4.9,41.8918,-104.0066
47516,Bruceville,IN,203275,Alto Potencial,100.0,10.8,2.0,1.5,2.3,38.7563,-87.4313
47528,Edwardsport,IN,134212,Alto Potencial,100.0,12.0,2.1,1.6,2.8,38.8106,-87.2519
54408,Aniwa,WI,220635,Alto Potencial,100.0,10.3,2.4,6.0,6.8,45.0088,-89.3578
13310,Bouckville,NY,196878,Alto Potencial,100.0,11.5,1.7,15.2,0.1,42.894,-75.5678
47524,Decker,IN,126062,Alto Potencial,100.0,12.8,2.0,2.5,4.2,38.5076,-87.5537
67446,Glen Elder,KS,143684,Alto Potencial,100.0,16.5,1.2,16.5,2.8,39.4958,-98.3155
67731,Bird City,KS,148572,Alto Potencial,100.0,24.6,1.8,8.1,5.6,39.7579,-101.5319
31823,Pine Mountain Valley,GA,245808,Alto Potencial,100.0,10.3,2.8,14.9,3.2,32.8226,-84.8204
67764,,KS,123827,Alto Potencial,100.0,18.1,1.8,17.7,2.7,39.061,-101.2216
55713,Buhl,MN,122629,Alto Potencial,100.0,8.2,1.8,5.3,1.2,47.4932,-92.7643
66951,Agra,KS,110381,Alto Potencial,100.0,20.4,1.3,13.7,7.0,39.7692,-99.0308
46175,Russellville,IN,182879,Alto Potencial,100.0,16.2,1.9,10.0,8.3,39.8366,-86.967
29377,Startex,SC,143424,Alto Potencial,100.0,17.6,2.3,10.7,4.8,34.9285,-82.099
43536,Mark Center,OH,154754,Alto Potencial,100.0,13.4,1.3,0.0,7.5,41.2917,-84.6278
64480,Rea,MO,255618,Alto Potencial,100.0,15.4,1.8,8.8,1.0,40.0593,-94.7002
61320,Dalzell,IL,148570,Alto Potencial,100.0,8.5,1.6,1.6,3.3,41.3547,-89.1705
67511,Albert,KS,124506,Alto Potencial,100.0,11.7,2.2,14.8,2.2,38.4528,-99.0115
67657,Palco,KS,127410,Alto Potencial,100.0,11.5,1.7,26.1,2.0,39.2531,-99.5593
67656,Ogallah,KS,140643,Alto Potencial,100.0,22.9,1.6,10.4,-2.1,38.9914,-99.7323
46537,La Paz,IN,147017,Alto Potencial,100.0,11.7,2.0,7.3,2.0,41.4599,-86.3102
47382,Saratoga,IN,69527,Alto Potencial,100.0,12.5,0.9,8.5,0.8,40.2347,-84.9185
82732,Wright,WY,280275,Alto Potencial,100.0,12.6,2.5,19.1,4.6,43.7512,-105.492
15937,Jerome,PA,78292,Alto Potencial,100.0,19.1,1.1,12.8,4.0,40.2084,-78.9873
14592,York,NY,187430,Alto Potencial,100.0,9.6,2.2,9.2,0.3,42.8757,-77.8835
8854,Piscataway,NJ,568084,Alto Potencial,99.9,10.8,3.7,1.2,3.1,,
60505,Aurora,IL,232577,Alto Potencial,99.9,9.3,2.7,2.3,0.1,41.7582,-88.2971
53215,Milwaukee,WI,208916,Alto Potencial,99.9,11.7,3.5,3.2,1.5,43.006,-87.9429
40601,Frankfort,KY,236232,Alto Potencial,99.9,10.0,3.0,3.0,-0.5,38.2281,-84.8697
53511,Beloit,WI,194201,Alto Potencial,99.9,7.6,2.5,2.5,-0.8,42.562,-89.086
44646,Massillon,OH,210152,Alto Potencial,99.9,7.7,2.7,2.3,0.2,40.8116,-81.4973
8844,Hillsborough Township,NJ,672112,Alto Potencial,99.9,9.1,3.6,0.6,2.2,,
13760,Endicott,NY,193019,Alto Potencial,99.9,8.2,2.6,3.8,-1.5,42.1506,-76.0551
8902,North Brunswick,NJ,523791,Alto Potencial,99.9,11.1,3.7,0.8,1.0,,
61554,Pekin,IL,124771,Alto Potencial,99.9,7.9,1.7,3.7,1.9,40.5674,-89.6243
44870,Sandusky,OH,176780,Alto Potencial,99.9,9.4,2.6,7.7,-1.6,41.4349,-82.7063
14624,Rochester,NY,250038,Alto Potencial,99.9,8.9,2.4,1.1,-1.7,43.1216,-77.7311
6040,Manchester,CT,318743,Alto Potencial,99.9,7.1,3.1,2.4,0.2,,
13126,Oswego,NY,179727,Alto Potencial,99.9,10.0,2.3,5.7,1.5,43.4394,-76.4613
53219,Milwaukee,WI,254921,Alto Potencial,99.9,7.7,3.0,2.0,-0.6,42.9959,-87.9944
61008,Belvidere,IL,240422,Alto Potencial,99.9,8.7,2.7,1.7,-1.8,42.2595,-88.8509
14621,Rochester,NY,109020,Alto Potencial,99.9,13.8,2.4,5.8,7.0,43.1834,-77.6043
60139,Glendale Heights,IL,299539,Alto Potencial,99.9,7.5,3.1,1.3,1.4,41.9205,-88.0793
7110,Nutley,NJ,623782,Alto Potencial,99.9,9.1,4.5,1.4,2.8,,
13850,Vestal,NY,237464,Alto Potencial,99.9,8.6,2.4,4.4,-1.7,42.0771,-76.0118
11803,Plainview,NY,903238,Alto Potencial,99.9,8.5,4.2,1.6,1.3,40.7781,-73.4816
53140,Kenosha,WI,234351,Alto Potencial,99.9,9.2,3.5,3.8,2.1,42.6052,-87.8299
6095,Windsor,CT,339454,Alto Potencial,99.9,8.3,2.6,1.9,0.3,,
7621,Bergenfield,NJ,599515,Alto Potencial,99.9,8.9,4.1,0.9,2.5,,
7920,Basking Ridge,NJ,881185,Alto Potencial,99.9,9.7,3.9,1.1,2.9,,
53405,Racine,WI,211334,Alto Potencial,99.9,8.7,2.6,1.7,0.5,42.7161,-87.8233
7450,Ridgewood,NJ,1095776,Alto Potencial,99.9,10.2,4.2,1.3,1.6,,
7076,Scotch Plains,NJ,776779,Alto Potencial,99.9,8.8,3.7,1.2,3.4,,
6108,East Hartford,CT,271117,Alto Potencial,99.9,9.0,3.9,1.9,-0.2,,
17901,Pottsville,PA,141853,Alto Potencial,99.9,8.5,1.9,6.1,0.5,40.684,-76.2123
45356,Piqua,OH,172319,Alto Potencial,99.9,8.0,2.2,2.8,-0.4,40.1486,-84.2531
6451,Meriden,CT,307553,Alto Potencial,99.9,10.1,3.7,3.8,-0.8,,
13069,Fulton,NY,173224,Alto Potencial,99.9,9.8,2.3,3.3,0.4,43.3211,-76.4034
53143,Kenosha,WI,235260,Alto Potencial,99.9,8.5,3.0,3.9,1.4,42.5617,-87.8301
53545,Janesville,WI,260568,Alto Potencial,99.9,8.9,3.2,1.7,-1.3,42.7355,-89.0405
11501,Mineola,NY,773351,Alto Potencial,99.9,9.8,4.8,1.8,2.6,40.7469,-73.6398
8879,South Amboy,NJ,504103,Alto Potencial,99.9,9.7,4.3,2.2,2.2,,
7866,Rockaway,NJ,544735,Alto Potencial,99.9,9.0,3.7,0.8,1.3,,
53548,Janesville,WI,257995,Alto Potencial,99.9,8.4,2.9,2.2,-0.1,42.6854,-89.1287
13088,Liverpool,NY,243055,Alto Potencial,99.9,9.7,2.7,2.0,-0.1,43.1099,-76.187
25705,Huntington,WV,164098,Alto Potencial,99.9,12.5,2.3,4.6,1.2,38.4096,-82.369
18505,Scranton,PA,173651,Alto Potencial,99.9,13.8,2.6,6.8,-0.8,41.3914,-75.6657
14468,Hilton,NY,285159,Alto Potencial,99.9,8.7,2.5,1.4,-0.7,43.2923,-77.7905
45505,Springfield,OH,122455,Alto Potencial,99.9,13.1,2.3,6.0,-0.6,39.9106,-83.7856
61104,Rockford,IL,92472,Alto Potencial,99.9,15.2,2.1,8.5,7.9,42.2554,-89.0768
8837,Edison,NJ,518286,Alto Potencial,99.9,11.6,3.9,1.6,3.1,,
13790,Johnson City,NY,151267,Alto Potencial,99.9,10.4,2.3,6.4,-1.5,42.1267,-75.9685
44320,Akron,OH,110492,Alto Potencial,99.9,10.5,2.4,5.2,-0.8,41.0835,-81.5674
54455,Mosinee,WI,293097,Alto Potencial,99.9,8.3,2.6,1.8,1.3,44.7997,-89.6845
44647,Massillon,OH,179504,Alto Potencial,99.9,8.3,2.3,2.9,2.6,40.7959,-81.5533
8536,Plainsboro,NJ,643070,Alto Potencial,99.9,10.8,4.0,1.6,2.5,,
54476,Weston,WI,260188,Alto Potencial,99.9,7.7,2.9,1.6,0.9,44.9064,-89.5818
7067,Colonia,NJ,614393,Alto Potencial,99.9,10.4,3.9,0.3,-0.1,,
43311,Bellefontaine,OH,231571,Alto Potencial,99.9,8.8,3.1,3.8,3.2,40.3605,-83.7571
54166,Shawano,WI,227493,Alto Potencial,99.9,8.7,2.9,9.6,-0.9,44.7851,-88.6036
8830,Iselin,NJ,538303,Alto Potencial,99.9,11.4,3.9,1.4,2.6,,
60436,Rockdale,IL,214943,Alto Potencial,99.9,9.1,2.9,2.9,-0.7,41.4884,-88.1572
7628,Dumont,NJ,626477,Alto Potencial,99.9,8.7,4.2,1.6,2.6,,
14615,Rochester,NY,177431,Alto Potencial,99.9,9.0,2.8,2.1,-0.1,43.2058,-77.6521
14559,Spencerport,NY,295024,Alto Potencial,99.9,8.9,2.7,1.6,-1.1,43.1895,-77.8043
13039,Cicero,NY,313161,Alto Potencial,99.9,8.7,2.4,2.4,-2.0,43.1707,-76.0962
7834,Denville,NJ,635009,Alto Potencial,99.9,8.0,3.3,2.4,2.2,,
40212,Louisville,KY,83200,Alto Potencial,99.9,12.6,1.8,10.6,8.1,38.2651,-85.8045
60433,Joliet,IL,203893,Alto Potencial,99.9,9.0,2.8,3.4,0.1,41.5119,-88.0569
8882,South River,NJ,514420,Alto Potencial,99.9,11.1,4.2,1.4,1.6,,
45320,Eaton,OH,235439,Alto Potencial,99.9,7.2,2.9,3.4,-0.5,39.7426,-84.6508
45891,Van Wert,OH,171927,Alto Potencial,99.9,8.1,2.3,2.7,-1.0,40.8689,-84.5904
53901,Portage,WI,268774,Alto Potencial,99.9,8.6,3.1,4.2,-0.1,43.5501,-89.4714
44905,Mansfield,OH,140685,Alto Potencial,99.9,8.7,2.1,2.8,-1.7,40.7779,-82.4613
26241,Elkins,WV,169048,Alto Potencial,99.9,8.6,2.8,8.2,0.6,38.9253,-79.8471
7044,Verona,NJ,706671,Alto Potencial,99.9,9.3,3.7,1.1,3.3,,
25504,Barboursville,WV,199262,Alto Potencial,99.9,12.1,2.8,5.4,2.6,38.3893,-82.296
60064,North Chicago,IL,195460,Alto Potencial,99.9,13.6,3.1,4.1,4.2,42.3247,-87.8564
61866,Rantoul,IL,129041,Alto Potencial,99.9,8.2,2.1,6.1,1.7,40.3107,-88.1462
16146,Sharon,PA,68426,Alto Potencial,99.9,18.9,1.3,7.7,5.0,41.2316,-80.4993
15668,Murrysville,PA,332532,Alto Potencial,99.9,9.1,2.3,1.5,-0.4,40.4467,-79.6842
8863,Fords,NJ,503941,Alto Potencial,99.9,12.0,3.5,0.6,4.2,,
10530,Hartsdale,NY,675090,Alto Potencial,99.9,8.1,4.8,2.2,3.2,41.0197,-73.8074
44811,Bellevue,OH,179052,Alto Potencial,99.9,7.8,2.4,3.1,-0.4,41.2684,-82.8577
7974,New Providence,NJ,925741,Alto Potencial,99.9,8.4,4.6,2.3,1.4,,
10803,Pelham,NY,1212292,Alto Potencial,99.9,9.2,4.8,0.9,0.4,40.9045,-73.8073
45506,Springfield,OH,114193,Alto Potencial,99.9,15.7,2.2,6.8,3.5,39.9104,-83.8275
7009,Cedar Grove,NJ,718498,Alto Potencial,99.9,9.3,4.1,1.0,1.6,,
8824,Kendall Park,NJ,709926,Alto Potencial,99.9,10.3,3.3,0.8,0.0,,
24426,Covington,VA,147435,Alto Potencial,99.9,9.5,2.4,10.0,-1.0,37.7802,-79.987
54961,New London,WI,262508,Alto Potencial,99.9,8.5,3.1,2.6,-0.9,44.3928,-88.7554
13066,Fayetteville,NY,363010,Alto Potencial,99.9,8.5,2.5,4.1,-0.6,43.0268,-76.0145
64772,Nevada,MO,148799,Alto Potencial,99.9,7.8,2.2,4.8,-1.5,37.8409,-94.3571
14586,West Henrietta,NY,339600,Alto Potencial,99.9,9.1,2.3,2.4,-2.2,43.0397,-77.6871
13421,Oneida,NY,197210,Alto Potencial,99.9,9.7,2.6,3.0,0.8,43.0862,-75.6508
7452,Glen Rock,NJ,956625,Alto Potencial,99.9,8.7,3.8,0.6,1.7,,
61356,Princeton,IL,170372,Alto Potencial,99.9,9.5,2.2,4.6,2.5,41.3629,-89.427
14519,Ontario,NY,319760,Alto Potencial,99.9,8.0,2.9,1.6,-0.8,43.2291,-77.3088
16511,Erie,PA,184802,Alto Potencial,99.9,9.4,2.2,2.5,-0.9,42.1553,-80.0177
42345,Greenville,KY,148380,Alto Potencial,99.9,10.8,1.8,3.8,2.9,37.2076,-87.1806
61523,Chillicothe,IL,166495,Alto Potencial,99.9,9.5,1.9,3.4,1.4,40.9013,-89.5068
6382,Montville,CT,320306,Alto Potencial,99.9,7.5,3.1,2.2,0.3,,
8835,Manville,NJ,465142,Alto Potencial,99.9,8.9,4.1,2.2,0.7,,
64503,Saint Joseph,MO,157348,Alto Potencial,99.9,10.4,2.6,6.5,-0.5,39.734,-94.8171
6239,Killingly,CT,330289,Alto Potencial,99.9,10.6,3.4,1.8,-0.3,,
7843,Hopatcong,NJ,415719,Alto Potencial,99.9,9.2,3.1,4.0,0.2,,
14625,Rochester,NY,347047,Alto Potencial,99.9,8.0,2.7,3.0,-1.5,43.1522,-77.5057
54162,Pulaski,WI,349092,Alto Potencial,99.9,10.5,3.7,0.8,-0.6,44.6611,-88.2634
14428,Churchville,NY,307574,Alto Potencial,99.9,7.9,3.0,2.3,-1.8,43.0749,-77.835
